#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2022-09-02T18:25:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ631248d42a3e4c	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-order=I
#-out.src=I/239/hip_main
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=hipparcos&HTTPPRM:&&-ref=VIZ631248d42a3e4c&-out.max=50&-out.form=HTML Table&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HIP&-out=Vmag&Vmag=<=6&-out=Plx&-out=pmRA&-out=pmDE&-out=e_Plx&-out=B-V&-ignore=HIPep=*&HIPep=HIPep&Erratum=Erratum&-out=_RA.icrs&-out=_DE.icrs&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=I/239/hip_main
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-out=HIP
#-out=Vmag
#Vmag=<=6
#-out=Plx
#-out=pmRA
#-out=pmDE
#-out=e_Plx
#-out=B-V
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	e_Plx	(F6.2)	? Standard error in Plx (H16)	[ucd=stat.error;pos.parallax]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
HIP|Vmag|Plx|pmRA|pmDE|e_Plx|B-V|_RA.icrs|_DE.icrs
 68009| 5.95|   3.74|  -25.06|  -23.27|  0.58| 1.411|208.91197697|-82.66619021
 68079| 5.82|  11.48| -138.60|  -90.31|  0.76| 1.140|209.08239879|-46.59294832
 68092| 5.90|   9.66|  -28.09|   13.65|  0.76| 0.217|209.11615413|+01.05058146
 68101| 6.00|  26.24|  -41.31| -225.92|  0.67| 0.780|209.13726652|-54.70466479
 68103| 5.02|   5.03|   28.19|  -47.76|  0.78| 1.441|209.14242131|+27.49208236
 68191| 4.71|  15.61|  -40.45|  -32.83|  0.57| 1.075|209.41201502|-63.68669582
 68245| 3.83|   7.01|  -23.68|  -19.82|  0.67|-0.224|209.56777521|-42.10075343
 68269| 5.20|   9.61|  -49.92|  -29.29|  0.69|-0.086|209.62977484|-24.97224873
 68276| 5.76|   6.79|   -9.52|  -42.08|  0.83|-0.002|209.66217838|+21.69621876
 68282| 3.87|   7.81|  -27.97|  -21.69|  0.70|-0.208|209.66978489|-44.80358412
 68333| 5.92|   9.72|   28.47|  -16.71|  0.76| 0.957|209.82284474|-50.36964668
 68390| 5.77|  17.43| -194.14|  -91.78|  0.78| 0.480|210.00050476|-25.01040286
 68455| 5.96|  13.01| -116.10|  -24.20|  0.63| 0.352|210.21852583|-66.26891031
 68498| 5.98|  11.33|   32.96|   -1.19|  0.76| 0.089|210.33512183|+08.89490635
 68520| 4.23|  14.94|   17.41|  -21.20|  0.88| 0.121|210.41163881|+01.54453185
 68523| 4.34|   7.28|    3.89|  -20.94|  0.80| 0.598|210.43122999|-45.60342079
 68581| 5.47|   7.51|  -32.38|   -4.12|  0.73| 1.331|210.59492286|-27.42977295
 68670| 5.93|   6.15|  -66.41|  -21.61|  0.63| 1.207|210.86043900|-56.21343380
 68702| 0.61|   6.21|  -33.96|  -25.06|  0.56|-0.231|210.95585201|-60.37303931
 68756| 3.67|  10.56|  -56.52|   17.19|  0.52|-0.049|211.09729071|+64.37585051
 68815| 5.69|   9.93|  -87.41|  -31.23|  0.64| 1.239|211.33282525|-76.79675222
 68862| 4.36|   7.31|  -24.42|  -21.63|  0.75|-0.198|211.51152954|-41.17963292
 68895| 3.25|  32.17|   43.05| -140.82|  0.77| 1.091|211.59290444|-26.68236110
 68933| 2.06|  53.52| -519.29| -517.87|  0.79| 1.011|211.67061857|-36.36995445
 68940| 5.46|  18.22| -140.62|    4.05|  1.07| 0.347|211.67843084|-09.31351525
 69038| 5.13|   7.01|   11.73|  -29.76|  0.66| 1.493|211.98231678|+43.85445247
 69068| 5.26|   5.86|  -59.54|   60.28|  0.61| 1.637|212.07209419|+49.45816711
 69112| 4.80|   6.52|  -30.36|   33.39|  0.49| 1.368|212.21219538|+77.54751428
 69174| 5.96|   5.95|  -32.69|  -10.97|  0.69|-0.053|212.39596571|-51.50467205
 69191| 4.74|  17.93| -144.17|  -90.54|  0.61| 0.938|212.47839773|-53.43894590
 69226| 4.82|  27.27|  -23.02|  -60.07|  0.78| 0.541|212.59972344|+25.09167693
 69269| 4.93|   6.02|    3.82|  -10.87|  0.81| 1.684|212.71035755|-16.30203004
 69373| 5.18|   7.32|  -26.12|  -49.53|  0.53| 1.595|213.01670892|+69.43254834
 69389| 4.99|  12.45|  -44.67|  -26.10|  0.90|-0.118|213.06585136|+02.40943269
 69415| 5.07|  14.22|  -13.44|  -35.52|  0.98| 1.130|213.19176791|-27.26118635
 69427| 4.18|  14.59|    8.04|  140.79|  0.95| 1.323|213.22394074|-10.27370180
 69462| 5.53|   1.25|  -12.66|   -9.52|  0.62| 1.438|213.31836756|-53.66567449
 69483| 4.53|  21.03|   61.39|  -10.57|  0.83| 0.233|213.37086581|+51.78996497
 69493| 5.89|  17.94|  207.42| -139.09|  0.81| 0.489|213.41995832|-00.84546252
 69536| 5.53|  30.06| -254.02|  -54.60|  0.74| 0.537|213.52158226|+12.95944396
 69598| 5.61|   7.26| -129.08|  -19.27|  0.76| 0.929|213.67775456|-41.83749497
 69612| 5.29|  12.79|  -22.50| -164.31|  0.87| 1.007|213.71187160|+10.10061034
 69618| 5.03|   6.71|  -23.97|  -20.97|  0.59|-0.074|213.73807573|-57.08612636
 69658| 5.53|  12.49|  -45.46|  -11.45|  0.85| 0.001|213.85035467|-18.20068980
 69673|-0.05|  88.85|-1093.45|-1999.40|  0.74| 1.239|213.91530010|+19.18241030
 69701| 4.07|  46.74|  -25.84| -419.84|  0.87| 0.511|214.00362402|-06.00054666
 69713| 4.75|  33.54| -149.98|   89.42|  0.56| 0.236|214.04137239|+51.36723132
 69732| 4.18|  33.58| -187.42|  159.01|  0.61| 0.087|214.09591139|+46.08830542
 69763| 5.72|   1.42|   -7.14|   -5.24|  0.66|-0.095|214.16131468|-66.58789366
 69829| 5.84|   3.22|   15.33|    7.73|  0.76| 1.678|214.36854952|+15.26337973
 69879| 4.80|  14.63|    4.92|   14.18|  0.69| 1.057|214.49924842|+35.50950532
 69896| 4.89|  23.36|  -19.95|  -65.39|  0.50| 0.243|214.55790024|-81.00776040
 69929| 5.86|  11.08|  -65.60|  -35.37|  0.91| 0.013|214.65939931|-18.71596761
 69965| 5.87|  56.23| -356.39|  366.76|  0.94| 0.518|214.75372951|-25.81542581
 69974| 4.52|  17.47|  -17.12|   29.39|  0.94| 0.128|214.77746494|-13.37109491
 69989| 5.41|  38.33|  105.91|  -32.22|  0.81| 0.385|214.81783458|+13.00429893
 69995| 5.93|  14.60|  -48.77|  -41.11|  0.83| 0.082|214.84949719|-37.00290667
 69996| 3.55|   9.27|  -12.81|   -3.79|  0.78|-0.184|214.85092485|-46.05809312
 70012| 5.14|  11.90| -119.29|  -71.87|  0.95| 1.023|214.88533246|-02.26551820
 70027| 4.84|  17.12| -140.91|   60.31|  0.68| 1.228|214.93847992|+16.30694777
 70035| 5.22|  20.69| -165.01|  -88.32|  0.63| 0.281|214.96459799|-61.27297180
 70054| 5.55|   8.49|   -8.95|    7.66|  0.85| 0.907|215.04042629|-43.05884340
 70069| 4.30|   2.75|   -9.29|   -7.57|  0.59| 0.082|215.08142896|-56.38649746
 70090| 4.05|  13.19|  -64.50|  -11.39|  0.86|-0.030|215.13929846|-37.88529479
 70104| 4.78|  21.95|   37.17|  -73.61|  0.80| 0.310|215.17742387|-45.18706031
 70243| 5.57|   2.65|  -26.28|   -0.33|  0.91|-0.088|215.58216170|-34.78679232
 70248| 5.06|   5.92|  -10.89|  -14.13|  0.53|-0.108|215.59650011|-80.10894534
 70264| 4.76|  11.56|  -47.03|   17.03|  3.09| 0.795|215.65445633|-58.45911695
 70300| 4.41|   7.79|  -24.32|  -21.81|  0.76|-0.185|215.75932876|-39.51181900
 70306| 4.78|  18.67| -201.57| -116.63|  0.76| 1.300|215.77406205|-27.75401742
 70327| 4.86|  15.17|  -75.28|   -9.56|  0.93| 0.010|215.84456528|+08.44661713
 70363| 5.99|   9.36|  -58.08|   -9.46|  0.77| 1.099|215.95242304|-53.17623291
 70384| 5.94|   8.49|   -6.18|  -14.32|  0.81| 0.066|216.00365247|+08.24396950
 70400| 5.10|  21.56|  -77.91|    6.49|  0.90| 0.124|216.04726938|+05.82013058
 70469| 5.34|   8.16|  -53.40|  -18.14|  0.87| 0.962|216.20260954|-24.80631048
 70492| 5.56|   0.93|   -7.96|   -3.80|  0.60| 0.435|216.27636089|-68.19533309
 70497| 4.04|  68.63| -236.06| -399.07|  0.56| 0.497|216.29915180|+51.85074357
 70574| 4.56|   3.15|  -13.51|  -14.02|  0.69|-0.147|216.53426610|-45.22142404
 70576| 4.33|  10.38|   13.55|   -6.35|  0.72| 0.434|216.54505337|-45.37927638
 70602| 5.40|  11.38|  -71.00|   26.70|  0.69| 0.231|216.61401836|+19.22689980
 70638| 4.31|  11.70|  -95.79|  -12.91|  0.49| 1.300|216.73014215|-83.66788445
 70657| 5.87|   3.54|  -18.48|  -14.36|  0.63| 1.502|216.77952868|-65.82164651
 70663| 5.83|  17.16| -152.52|  -78.14|  0.83| 0.311|216.80071281|-46.13425412
 70692| 4.25|   9.46|    8.71|   22.09|  0.46| 1.431|216.88142952|+75.69599290
 70753| 4.97|   7.85|  -24.87|  -23.81|  0.80|-0.074|217.04344444|-29.49163763
 70755| 4.81|  24.15| -140.94|   -2.92|  1.00| 0.693|217.05057524|-02.22795719
 70791| 5.58|  10.59| -304.53|  -46.36|  0.61| 0.864|217.15755227|+49.84485149
 70794| 5.42|   6.81|  -14.02|  -50.30|  0.76| 1.490|217.17384357|-06.90053627
 70894| 5.96|  13.10|   15.70|    7.26|  1.28| 0.159|217.46049471|+00.82892900
 70915| 5.51|   6.84|  -37.72|  -27.81|  0.76|-0.087|217.53595350|-45.32135551
 70931| 5.38|  14.66|  -50.66|  -37.65|  0.89| 0.056|217.58727980|-49.51901808
 70987| 5.99|   9.43|    5.50|   28.23|  0.79| 1.060|217.79516728|-38.86970844
 71002| 5.84|  11.88|   36.16|  -58.80|  0.68| 1.006|217.81850707|-67.71719693
 71053| 3.57|  21.92| -100.44|  120.22|  0.81| 1.298|217.95745802|+30.37143717
 71075| 3.04|  38.29| -115.55|  151.87|  0.73| 0.191|218.01946630|+38.30825261
 71094| 6.00|  14.03|  -69.92|  -23.82|  0.92| 0.230|218.08427540|+26.67728448
 71111| 5.74|   5.33|    5.68|  -14.75|  0.55| 1.529|218.12889827|+55.39800985
 71115| 5.91|  19.44| -126.48|   40.38|  0.77| 0.391|218.13559265|+22.26005887
 71121| 4.44|   5.68|  -29.55|  -14.85|  0.72|-0.177|218.15440166|-50.45715741
 71182| 5.86|   9.56|   -2.78|  -17.07|  0.69| 1.085|218.37486466|-52.67952225
 71184| 5.86|  11.42|  -93.43|   -4.98|  0.68| 0.482|218.38489899|-54.99862770
 71280| 5.74|   4.17|  -45.83|   50.41|  0.60| 1.560|218.66508564|+49.36835423
 71284| 4.47|  64.66|  188.32|  132.72|  0.72| 0.364|218.67007099|+29.74512993
 71352| 2.33|  10.57|  -35.31|  -32.44|  0.83|-0.157|218.87676586|-42.15782447
 71353| 5.88|   9.10|  -21.56|  -23.19|  0.78|-0.085|218.88117124|-41.51743653
 71419| 5.55|   5.12|  -31.17|   16.46|  0.76| 1.489|219.07929375|-46.24545129
 71453| 5.74|   7.78|  -22.67|  -22.05|  0.77|-0.112|219.18388861|-40.21157998
 71500| 5.39|   2.44|  -14.24|  -10.70|  1.25| 0.927|219.33397089|-46.13343907
 71536| 4.05|  10.51|  -27.78|  -29.05|  0.71|-0.152|219.47177584|-49.42582826
 71568| 5.74|   2.85| -102.95|   31.79|  0.54| 1.481|219.55245384|+43.64213015
 71571| 5.90|   8.88|  -29.10|  -64.51|  0.74| 1.099|219.55828052|+18.29837944
 71573| 5.83|   7.61|   17.54|  -19.04|  0.53| 0.007|219.56342725|+54.02333948
 71618| 5.39|  16.56|  -68.43|  -18.43|  0.55| 0.030|219.70927445|+44.40450023
 71681| 1.35| 742.12|-3600.35|  952.11|  1.40| 0.900|219.89617026|-60.83715604
 71683|-0.01| 742.12|-3678.19|  481.84|  1.40| 0.710|219.90206584|-60.83397468
 71759| 5.93|  18.83|   53.76|  -14.71|  0.85| 0.238|220.17663604|+13.53432528
 71762| 4.49|  10.28|    9.64|    9.46|  0.91|-0.002|220.18152847|+16.41832429
 71783| 5.67|   5.54|  -31.58|   -6.17|  0.74|-0.081|220.25579461|-36.13485830
 71795| 3.78|  18.07|   52.36|  -12.71|  1.24| 0.044|220.28729920|+13.72830024
 71832| 4.86|   5.66|  -10.21|    3.25|  0.82| 0.992|220.41146043|+08.16176401
 71837| 5.55|   8.46| -159.52| -112.25|  0.86| 0.941|220.43133548|+11.66066243
 71860| 2.30|   5.95|  -21.15|  -24.22|  0.76|-0.154|220.48231508|-47.38820014
 71865| 4.01|  10.69|  -29.56|  -30.68|  0.72|-0.157|220.48996231|-37.79349851
 71908| 3.18|  60.97| -192.64| -234.07|  0.58| 0.256|220.62674745|-64.97513849
 71957| 3.87|  53.54|  104.23| -319.90|  0.95| 0.385|220.76509742|-05.65820663
 71974| 5.70|   7.97|  -21.77|   -9.12|  0.78| 0.006|220.80646511|-24.99775316
 71995| 4.80|   3.67|  -13.29|  -16.68|  0.94| 1.672|220.85568013|+26.52785023
 72010| 4.06|  15.89|  -60.93| -176.82|  0.71| 1.356|220.91433341|-35.17365526
 72012| 5.72|   4.11|  -13.40|   20.79|  0.58| 1.398|220.93514285|+40.45925391
 72104| 4.92|  15.76|   10.04|   -2.03|  0.74| 0.013|221.24667614|-35.19182562
 72105| 2.35|  15.55|  -50.65|   20.00|  0.78| 0.966|221.24674043|+27.07422244
 72125| 4.60|  14.48|  -60.87|  -50.69|  0.79| 0.972|221.31025043|+16.96427976
 72131| 5.36|  21.75|   70.24|  -80.34|  0.61| 0.308|221.32223583|-62.87564802
 72154| 5.68|   5.31|  -39.85|   -7.92|  1.34|-0.021|221.37585537|+00.71727078
 72197| 5.15|  32.86| -151.50| -109.07|  0.92| 0.315|221.50033306|-25.44318067
 72208| 5.78|   3.59|  -85.07|   19.27|  0.86| 1.335|221.52477447|+15.13178786
 72210| 5.80|   8.91|   25.85|  -64.04|  0.96| 0.980|221.52820330|-23.15301769
 72220| 3.73|  25.35| -116.04|  -21.75|  0.87|-0.005|221.56218374|+01.89288544
 72250| 5.74|   9.59|  -39.79|  -14.74|  0.83| 0.066|221.62080664|-47.44111582
 72290| 5.22|  12.58|  -17.93|  -82.32|  0.66| 0.984|221.75538948|-52.38351785
 72296| 5.90|   5.88|   52.75|  -82.59|  0.76| 1.336|221.77124083|-38.29063861
 72323| 5.61|   5.32|   -7.84|  -13.85|  0.75|-0.043|221.84397880|-25.62426687
 72357| 5.23|   9.84|   36.88|   -8.40|  0.76| 0.938|221.93668811|-26.08750032
 72370| 3.83|   7.93|   -5.67|  -15.75|  0.53| 1.433|221.96545315|-79.04475070
 72378| 5.76|   7.51|  -10.65|   -8.83|  0.85|-0.007|221.98982299|-26.64615475
 72432| 5.89|   7.26|  -12.94|  -46.04|  0.90| 1.369|222.15853236|-36.63469697
 72438| 5.91|   2.85|   -7.49|  -11.14|  0.62|-0.106|222.18562584|-66.59356320
 72487| 5.76|  21.34|   -7.35|  -77.32|  0.55| 0.482|222.32778860|+46.11620543
 72488| 5.68|   2.93|  -20.69|   -0.43|  0.84| 1.275|222.32810468|-24.25147056
 72489| 5.32|  13.86|  -65.89|  -14.79|  1.30| 0.066|222.32938051|-14.14902182
 72524| 5.68|  14.22|  -76.93|   99.13|  0.87| 0.501|222.42205614|+48.72080378
 72552| 5.80|  11.06|   18.80|   -0.72|  0.65| 0.046|222.49332864|+28.61583166
 72567| 5.86|  55.73|  144.73|   32.42|  0.80| 0.576|222.56587988|+23.91184418
 72571| 4.42|  10.68| -237.37|  -62.37|  0.83| 1.366|222.57212471|-27.96037084
 72573| 5.63|  23.08|  177.66| -223.33|  0.50| 0.671|222.58509448|+82.51194418
 72582| 5.47|  16.31| -212.26|   95.24|  0.61| 1.030|222.62352767|+37.27204659
 72603| 5.15|  42.26| -135.93|  -59.47|  1.04| 0.401|222.67158849|-15.99723680
 72607| 2.07|  25.79|  -32.29|   11.91|  0.52| 1.465|222.67636006|+74.15550491
 72622| 2.75|  42.25| -105.69|  -69.00|  1.05| 0.147|222.71963807|-16.04177818
 72631| 4.93|  15.09|   87.63| -123.64|  1.09| 0.988|222.75446368|-02.29915046
 72659| 4.54| 149.26|  152.81|  -71.28|  0.76| 0.720|222.84741061|+19.10046004
 72664| 5.48|   7.38| -120.89|  136.99|  0.48| 1.369|222.86015253|+59.29398542
 72683| 4.32|   8.00|  -24.79|  -26.80|  0.78|-0.154|222.90959733|-43.57535897
 72773| 5.91|   3.22|  -10.05|   -4.11|  1.22| 0.660|223.14690411|-63.80982740
 72800| 5.02|   8.49|  -20.60|  -17.96|  0.76|-0.155|223.21280686|-37.80316007
 72833| 5.59|  10.19|   18.33|   34.31|  0.69| 0.820|223.30655741|-73.19007118
 72848| 6.00|  86.69| -442.75|  216.84|  0.81| 0.841|223.34902659|+19.15279846
 72929| 5.27|   8.48|  -11.02|  -27.51|  0.77| 1.336|223.58387153|-24.64220203
 72934| 5.78|   8.94|  -55.68|   -7.09|  0.96| 0.982|223.59530331|-11.89834766
 72959| 5.85|   4.07|   -8.58|   -5.75|  0.86| 1.429|223.65797775|-33.30057489
 73036| 5.18|  18.87| -125.69| -112.25|  0.80| 1.161|223.89400205|-60.11416416
 73049| 5.32|  13.20|   19.18|   -2.03|  0.81| 0.046|223.93628386|-33.85578497
 73087| 5.90|   5.96|  -12.78|   -0.08|  0.74|-0.031|224.05512632|+14.44626567
 73095| 5.38|  15.08|   27.59|    7.90|  0.72| 0.142|224.07188193|-52.80954787
 73100| 5.63|  40.25|  110.79| -226.45|  0.54| 0.533|224.09600051|+49.62844897
 73111| 5.62|   5.21|  -29.91|  -22.46|  0.99|-0.035|224.13355699|-47.87919780
 73129| 5.08|   3.91|  -12.41|  -11.78|  0.67|-0.023|224.18327713|-62.78101625
 73133| 5.48|   6.06|    7.93|   11.21|  0.79| 1.491|224.19213254|-11.40970065
 73165| 4.47|  35.83|  -97.83| -154.56|  0.91| 0.318|224.29583149|-04.34646201
 73166| 5.72|   5.28|   -4.08|   -4.98|  0.81| 0.951|224.29865735|+16.38812776
 73184| 5.72| 169.32| 1034.18|-1725.60|  1.67| 1.024|224.36666506|-21.41547505
 73193| 5.51|  11.06|   59.91|  -26.20|  0.87| 1.131|224.38854677|-00.16761171
 73199| 4.63|   8.20|  -78.26|   32.48|  0.52| 1.590|224.39586336|+65.93246020
 73223| 5.37|   7.62|  -68.58|  -16.14|  0.56| 1.442|224.47076658|-76.66265545
 73273| 2.68|   6.23|  -34.06|  -38.30|  0.71|-0.184|224.63302849|-43.13396008
 73284| 5.65|   9.32|  -47.62|   -8.60|  1.42| 0.262|224.66356114|-27.65731391
 73310| 5.88|  10.32| -106.68|  -61.53|  0.85| 1.274|224.72325257|-11.14401377
 73334| 3.13|   6.05|  -17.76|  -21.33|  0.73|-0.208|224.79035436|-42.10419383
 73350| 5.91|   4.50|    1.17|   -4.75|  0.93| 1.615|224.84631414|+04.56776122
 73369| 5.64|  19.83|  -31.53|   41.85|  0.57| 0.336|224.90394679|+39.26533338
 73415| 5.92|   3.72|  -13.33|  -10.26|  0.55| 1.052|225.04709586|-77.16055017
 73473| 4.91|  10.72|  -66.20|   -3.40|  0.91| 0.000|225.24311921|-08.51894314
 73493| 5.88|   8.43|   30.42|  -34.37|  0.93| 1.246|225.30456864|-38.05839819
 73497| 5.52|   5.78|   28.68|  -22.40|  0.80| 1.692|225.33261122|-02.75492652
 73507| 5.91|   9.98|  -13.04|   11.94|  0.53| 0.107|225.36289180|+60.20445323
 73536| 5.71|   3.19|    6.45|  -15.03|  1.21| 1.509|225.45382982|-00.14029520
 73540| 5.65|   8.39|   18.65|   53.30|  0.50| 0.962|225.46165236|-83.22764618
 73555| 3.49|  14.91|  -40.20|  -29.22|  0.57| 0.956|225.48650975|+40.39056569
 73566| 5.83|  10.04|   84.22|  -34.14|  0.90| 0.164|225.52681118|-28.06061106
 73568| 4.80|   9.07|   -5.88|  -48.60|  0.74| 1.506|225.52711814|+25.00813833
 73620| 4.39|  17.78|  -55.93|   12.94|  0.90| 1.026|225.72515557|+02.09130274
 73624| 5.45|   9.32|  -21.05|  -19.66|  0.84|-0.127|225.74698265|-32.64329383
 73634| 5.52|  11.85|  -39.95|    9.30|  0.60| 1.023|225.77522944|+35.20579548
 73695| 4.83|  78.39| -436.24|   18.94|  1.03| 0.647|225.94710009|+47.65406011
 73714| 3.25|  11.17|  -71.85|  -44.69|  0.98| 1.674|226.01756480|-25.28196464
 73745| 4.52|  13.04| -176.31|   -4.52|  0.68| 1.240|226.11142384|+26.94764882
 73771| 5.65|   1.88|   -8.65|  -17.65|  0.52| 1.273|226.19550613|-83.03831141
 73776| 5.16|  12.20|  102.92|    9.47|  0.59| 0.935|226.20077677|-64.03135005
 73807| 3.91|   6.56|  -23.39|  -21.11|  0.96|-0.144|226.27952355|-47.05124517
 73826| 5.13|   8.88|   22.64|   -0.84|  0.94| 1.011|226.32985804|-41.06723583
 73841| 5.59|  12.55|  -65.26|   29.71|  0.52|-0.005|226.35764399|+48.15097252
 73909| 5.24|  12.53|   47.07|   12.81|  0.53| 0.958|226.56965189|+54.55631811
 73937| 5.97|  10.44|  -23.00|  -28.66|  0.96|-0.076|226.63832178|-30.91848265
 73945| 5.19|   4.26|  -36.41|  -23.28|  0.80| 1.589|226.65665094|-16.25681782
 73996| 4.93|  50.70|  184.81| -163.51|  0.76| 0.429|226.82527458|+24.86919552
 74006| 5.77|   9.35|   22.29|    9.50|  0.66| 0.920|226.85813740|-49.08861230
 74066| 5.75|   7.90|  -28.59|  -30.38|  0.85|-0.113|227.05051900|-40.58392988
 74087| 5.67|   7.77|    1.14|  -12.41|  0.83| 1.240|227.09908784|+26.30115255
 74096| 5.82|   6.39|   -1.91|   -0.69|  0.74| 1.233|227.14818205|+25.10863507
 74100| 5.85|   7.34|  -20.52|  -21.29|  0.82|-0.123|227.16332188|-42.86792148
 74117| 4.07|   8.02|  -17.32|  -26.11|  0.69|-0.162|227.21089670|-45.27985752
 74184| 5.76|   0.54|   -3.94|   -2.59|  0.68| 0.675|227.37463952|-67.08413313
 74224| 5.98|   6.98|  -24.53|  -20.85|  0.82| 0.867|227.53052031|-38.79251125
 74239| 5.75|   7.25|  -32.15|   -8.39|  1.00| 1.045|227.57762902|-26.33262119
 74296| 5.88|  10.24|    3.22|    4.03|  0.48|-0.031|227.78672678|-84.78781204
 74305| 5.45|   1.61|   -3.82|   -7.41|  0.76| 1.118|227.81658484|-55.34603240
 74376| 3.88|  17.89|  -96.52|  -47.97|  1.26|-0.029|227.98364862|-48.73781871
 74380| 5.70|  16.89|  -98.31|  -45.39|  5.08| 0.144|227.99032525|-48.74368674
 74386| 5.90|   3.93|  -16.41|   11.38|  1.45| 1.414|228.01776005|+18.97603118
 74392| 4.54|   8.66|  -35.59|  -32.55|  0.98|-0.071|228.05537543|-19.79171054
 74395| 3.41|  28.06| -113.94|  -71.00|  0.71| 0.918|228.07122900|-52.09924722
 74449| 4.83|   7.18|  -20.49|  -22.20|  0.72|-0.177|228.20661659|-44.50041361
 74539| 5.84|   3.55|  -14.01|   -4.17|  0.91| 1.139|228.47213597|-26.19356953
 74561| 5.98|   5.57|   42.18|  -30.19|  0.68| 1.552|228.52518177|+31.78784478
 74582| 5.75|   2.18|    4.39|   -8.24|  0.60| 3.271|228.57989727|-70.07947569
 74596| 5.28|  14.40|  -69.99|   28.32|  0.65| 0.062|228.62149336|+29.16429476
 74604| 4.91|   2.86|   -9.72|    1.83|  0.95| 0.374|228.65549679|-31.51912119
 74605| 5.15|  39.51|  221.51| -392.30|  0.47| 0.550|228.65974563|+67.34672247
 74649| 5.32|   6.98|  -23.06|    3.91|  0.95| 1.092|228.79730419|+04.93936176
 74666| 3.46|  27.94|   84.84| -110.57|  0.61| 0.961|228.87567917|+33.31483347
 74689| 5.62|  20.20| -107.26|   12.83|  0.95| 0.181|228.95448869|+00.37213871
 74696| 5.96|  19.32|    5.08|   -8.39|  0.76| 0.210|228.97360792|-48.07366118
 74707| 5.15|   2.54|  -10.38|   -4.87|  0.73| 0.564|229.01676479|-41.49115502
 74732| 5.52|   6.52|  -33.86|    1.83|  1.16| 1.357|229.09588045|-22.39941638
 74750| 5.74|   1.70|   -1.55|   -4.09|  0.89|-0.057|229.15288591|-60.90399654
 74778| 5.04|   0.51|   -2.02|   -4.08|  0.71|-0.077|229.23706622|-60.95725471
 74785| 2.61|  20.38|  -96.39|  -20.76|  0.87|-0.071|229.25172845|-09.38291740
 74793| 5.02|   8.37|    3.73|    9.37|  0.46| 1.369|229.27453570|+71.82390121
 74824| 4.07|  33.75|  -98.39| -135.46|  0.75| 0.088|229.37853924|-58.80120806
 74837| 4.85|   8.74|    2.12|    8.66|  0.62| 1.260|229.41204414|-63.61046557
 74857| 4.35|  10.59|   -8.71|   -4.47|  1.00| 1.100|229.45766251|-30.14867319
 74896| 5.68|  11.23|  -14.57|  -13.13|  0.85| 0.972|229.60210309|+20.57277776
 74901| 5.88|   3.33|  -11.60|    1.28|  0.81| 1.507|229.60885898|-00.46123414
 74911| 4.27|  11.22|  -31.74|  -32.82|  0.96|-0.086|229.63342085|-47.87527178
 74941| 5.43|   0.02|   -3.17|   -4.57|  0.71|-0.089|229.70476285|-60.49633440
 74946| 2.87|  17.85|  -66.48|  -32.00|  0.52| 0.014|229.72742565|-68.67954501
 74950| 5.59|   6.34|  -19.36|  -21.78|  0.72|-0.099|229.73489436|-40.78822169
 74975| 5.04|  40.46|  373.24| -513.64|  0.81| 0.540|229.82832387|+01.76540768
 75043| 5.65|  15.32|   10.88|   11.28|  0.52| 0.122|230.02146460|+51.95851498
 75049| 5.51|  11.90| -118.74|  -42.02|  0.74| 1.015|230.03565952|+29.61620896
 75097| 3.00|   6.79|  -18.03|   17.68|  0.46| 0.058|230.18214784|+71.83401605
